demand_point_index,x_coordinate,y_coordinate,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,nearest_supply_index,nearest_supply_idx,2019_gap,2020_gap,2018_gap,2018_demand,2018_supply
0,0.5,0.5,0.352241802268936,0.667931689787037,0.958593314503609,2.91190058436421,4.33827422260354,6.56199462583608,8.4544173801017,10.5953242141732,13.1195720636842,15.4458480955859,17.7120813508482,38,38,,,4.119572063684201,13.1195720636842,9.0
1,1.5,0.5,0.325939881066281,0.591964357863546,0.862652014405164,2.58906781846164,4.19603391062057,5.74555093098881,8.75319538014373,11.1269949339426,12.0200908662586,12.5612274909451,12.9894311160538,38,38,,,3.0200908662586006,12.0200908662586,9.0
2,2.5,0.5,0.373752337933378,0.591889904013129,0.969733146470033,2.64143197300356,3.54177233964114,5.46916078418819,8.41462665873885,10.1153355032736,14.018253749831,16.3380002766194,19.3962636189713,38,38,,,5.0182537498310005,14.018253749831,9.0
3,3.5,0.5,0.420686175855944,0.584054666186515,0.906546922155856,2.37857669519099,3.88812065939226,5.84608906188767,9.08386822353854,12.4248852500904,15.0123021166139,17.0885141080208,18.958257851416,38,38,,,6.012302116613901,15.0123021166139,9.0
4,4.5,0.5,0.475620673308087,0.647939916386097,0.981544374385156,2.66539984585535,4.21871063901032,6.77660901085348,8.85110717926886,11.7311311668085,16.3555630541119,20.6397213069251,24.7337856347682,38,38,,,7.355563054111901,16.3555630541119,9.0
5,5.5,0.5,0.380156360929146,0.725188536159939,1.07605365155206,2.76261752186264,4.22074676251795,6.760394719916,9.33119628832494,14.74394287823,17.5599977477561,21.533489617008,23.9200766839487,38,38,,,8.5599977477561,17.5599977477561,9.0
6,6.5,0.5,0.449348169072535,0.730465980668545,1.22048394802009,2.65518687770419,5.33359367361868,8.62049613613366,11.4067507622272,13.1158543203992,19.6964153225657,23.5002778372524,27.5718170913831,38,38,,,10.696415322565699,19.6964153225657,9.0
7,7.5,0.5,0.470070736634434,0.866473820760624,1.61545413953443,3.27306147018248,5.44286712539023,8.68128357780838,11.1353520161277,14.7082717220777,19.3674174996837,23.7321167388903,28.0009451790703,38,38,,,10.3674174996837,19.3674174996837,9.0
8,8.5,0.5,0.537306704135534,0.833661221638355,1.62269096449803,3.36653338371171,5.97326718562333,10.0331831172227,13.2105670119526,17.2916263327475,21.89984748714,26.5540281660795,31.1421706814956,38,38,,,12.89984748714,21.89984748714,9.0
9,9.5,0.5,0.445734370441197,0.77527907663679,1.31620905883404,3.79585793013365,4.78136059966362,9.27764001793168,10.9924785528168,17.3862097502354,21.765241299637,27.9446999083004,32.1285786845243,38,38,,,12.765241299637001,21.765241299637,9.0
10,10.5,0.5,0.450974188511943,0.801137904724884,1.80906126834699,3.86423556157718,6.00867473901758,9.57895811545325,12.6093662135723,21.9313293234419,22.6046928236102,29.4273038667401,30.7744139037373,38,38,,,13.6046928236102,22.6046928236102,9.0
11,11.5,0.5,0.450947509468321,0.878252982957771,1.6131458491959,3.84326979408962,6.07380521993817,8.80125683316669,13.4653874782661,20.3882382835284,23.9195815325912,25.5681316785697,26.8863494274515,38,38,,,14.919581532591199,23.9195815325912,9.0
12,12.5,0.5,0.488245285343677,0.979895295996992,1.66027044686005,3.88646524448694,5.95129784798565,10.2063698097885,12.5014081931822,18.2564149179161,19.5943464953047,24.2841943522288,25.534477208182,24,24,,,9.594346495304698,19.5943464953047,10.0
13,13.5,0.5,0.399943833123913,0.771696866531019,1.41520712572028,4.13121657613959,4.93229464388888,8.54359360560585,13.1564930394883,19.4112425981976,21.4389105868665,24.2463046801259,25.3719255774081,24,24,,,11.438910586866498,21.4389105868665,10.0
